分库分表策略,逻辑库,逻辑表,mysql实例,mysql库名,mysql表名
SHARDING_DB_TBL,fintax_account,varcher_detail,ndz_account_1,fintax_account_0,varcher_detail_0
SHARDING_DB_TBL,fintax_account,varcher_detail,ndz_account_1,fintax_account_1,varcher_detail_1
SHARDING_DB_TBL,fintax_account,varcher_detail,ndz_account_1,fintax_account_2,varcher_detail_2
SHARDING_DB_TBL,fintax_account,varcher_detail,ndz_account_1,fintax_account_3,varcher_detail_3
SHARDING_DB_TBL,fintax_account,varcher_detail,ndz_account_1,fintax_account_4,varcher_detail_4
SHARDING_DB_TBL,fintax_account,varcher_detail,ndz_account_1,fintax_account_5,varcher_detail_5
SHARDING_DB_TBL,fintax_account,varcher_detail,ndz_account_1,fintax_account_6,varcher_detail_6
SHARDING_DB_TBL,fintax_account,varcher_detail,ndz_account_1,fintax_account_7,varcher_detail_7
SHARDING_DB_TBL,fintax_task,task_master,ft0,fintax_task_0,task_master_0
SHARDING_DB_TBL,fintax_task,task_master,ft0,fintax_task_1,task_master_1
SHARDING_DB_TBL,fintax_task,task_master,ft1,fintax_task_2,task_master_2
SHARDING_DB_TBL,fintax_task,task_master,ft1,fintax_task_3,task_master_3
NONSHARDING,fintax-invoice,cannot_logic_1,ndz_e,fintax-invoice,cannot_logic_1
NONSHARDING,fintax-invoice,cannot_logic_2,ndz_e,fintax-invoice,cannot_logic_2